,Name,Categories,Distance,Latitude,Longitude,Id,Neighborhood,Likes,Tips,Rating
98,BP,Gas Station,668,-34.00147,18.690479999999997,55cd09ab498ebb16372dfbf0,Blue Downs,0,0,No Rating Yet
99,Eersterivier,River,846,-34.001825483035084,18.706399145400297,4c682d427963be9a98b2ccbc,Blue Downs,3,0,No Rating Yet
100,China Town - Shoprite Park,Shopping Mall,748,-33.90705362114536,18.592899136432468,4f968fe2e4b0e1b63553153f,Parow,9,3,6.2
101,Century Superspar,Grocery Store,327,-33.90530829,18.58799458,4d5ffaa19f67f04daf2273fb,Parow,5,0,5.7
102,Nuvoice Telecom,Business Service,478,-33.89905,18.583859999999962,5c5316f22b9844002c61d616,Parow,0,0,No Rating Yet
103,Avondale Train Station,Train Station,745,-33.897718129836065,18.592595663099143,4fa9ff1fe4b0956aefcf5e5d,Parow,0,0,No Rating Yet
104,Bidvest McCarthy VW Parow,Automotive Shop,783,-33.90498558,18.59487904,4e3f7a8d62e19d6109895f9b,Parow,0,0,No Rating Yet
105,KWIKSPAR De Tyger,Supermarket,809,-33.89585,18.59048,4dce5b92183899ddfacfc8ba,Parow,0,0,No Rating Yet
106,Ajax Cape Town,Soccer Field,848,-33.896328274612706,18.5815464314535,4daee88e8154d1d4886ffb42,Parow,1,0,No Rating Yet
107,Engen Tierberg Service Convenience Centre,Gas Station,889,-33.90183641,18.59653386,4e4f54f318a8af30fd841d21,Parow,0,0,No Rating Yet
108,Parow Athletics Track,Athletics & Sports,903,-33.89464273023277,18.58447444430556,4e02010662843b639cfd38e2,Parow,2,1,No Rating Yet
109,Woolworths Palm Grove,Grocery Store,738,-33.83378313206032,18.64783363949601,4be1a45542e8c928fa783406,Durbanville,7,1,7.3
110,Virgin Active Health Club,Gym,992,-33.831549399923496,18.647232358675737,4d13181affa1224b3ff59dad,Durbanville,7,4,6.9
111,Sunrise Beach,Beach,667,-34.10337168015757,18.481898156103693,4e0b3e9acc3f0e8737cad9f0,Muizenberg,17,1,7.5
112,Muizenberg Flea Market,Flea Market,694,-34.102981917653054,18.48040848620249,4ba5ec1ef964a520692939e3,Muizenberg,10,7,7.5
113,Engen Eastlake Motors,Gas Station,452,-34.09730067,18.47978618,59ef2fc48134887560ce4007,Muizenberg,0,0,No Rating Yet
114,Fish Hoek Beach,Beach,877,-34.13711698645851,18.43428611755371,4b6d405af964a5209f6d2ce3,Fish Hoek,93,18,8.6
115,Woolworths,Grocery Store,597,-34.138555570681795,18.43128204345703,4c618eeba2749521b0b49693,Fish Hoek,3,0,6.5
