,Name,Categories,Distance,Latitude,Longitude,Id,Neighborhood,Likes,Rating
157,Blackheath Lodge,Bed & Breakfast,998,-33.910203631646795,18.39769676782069,4cd87a9551fc8cfaf9c0e95d,Atlantic Seaboard,12,No Rating Yet
158,Villa Zest,Hotel,513,-33.91065240884474,18.413980916920085,4cc30fdf82388cfa6d016535,Atlantic Seaboard,4,No Rating Yet
159,Casa Blanca Night Club,Nightclub,594,-33.90785128623892,18.414458531192704,4efa38e777c8e88f4a2fb5a8,Atlantic Seaboard,7,No Rating Yet
160,Ashanti Lodge - Greenpoint,Hostel,731,-33.909241185480425,18.400622335368308,4c70026eb5fe9521bf666311,Atlantic Seaboard,4,No Rating Yet
161,Spa - The One&Only Cape Town,Spa,707,-33.909397635651644,18.41613829135895,4ffaf456e4b0f1c61a21597c,Atlantic Seaboard,6,No Rating Yet
162,Village Café,Breakfast Spot,971,-33.9154162518468,18.416634829715253,4ba5d64af964a520fb2439e3,Atlantic Seaboard,20,No Rating Yet
163,Brew,Coffee Shop,321,-33.90864760240377,18.411647197187428,51dfc3b4498e5c0fc354cdbb,Atlantic Seaboard,5,No Rating Yet
164,Best Of Asia,Sushi Restaurant,249,-33.90779360842176,18.40950037713233,4f802e61e4b0bf6cc926c85f,Atlantic Seaboard,10,No Rating Yet
165,Jade,Nightclub,430,-33.909467050957275,18.413132165910124,4bca16c4511f95211e00afc7,Atlantic Seaboard,15,No Rating Yet
166,Vista Bar - The One&Only Cape Town,Hotel Bar,738,-33.908906174034726,18.416411431018613,4de12a1b8877aab7fe5c99c6,Atlantic Seaboard,10,No Rating Yet
167,V&A Marina Apartments,Hotel,820,-33.910357633603894,18.4173671207318,4cc196d8668db60c18a814b4,Atlantic Seaboard,24,No Rating Yet
168,Sunflower Stop Hostel Cape Town,Hostel,467,-33.907974514213336,18.403996295373343,4be197068dd062b5d4653e3c,Atlantic Seaboard,5,No Rating Yet
169,Beefcakes,Gay Bar,968,-33.914110717536374,18.417665632044674,4b504a72f964a520e31f27e3,Atlantic Seaboard,50,No Rating Yet
170,Noon Gun,Scenic Lookout,664,-33.915270039792034,18.41158924505828,4bd2bdbaa8b3a5938173685f,Atlantic Seaboard,6,No Rating Yet
171,The Foundry,Shopping Mall,976,-33.91222960021183,18.41868276606886,4c7ca6f283a7bfb7b65696f8,Atlantic Seaboard,23,No Rating Yet
172,Nobu - The One&Only Cape Town,Japanese Restaurant,742,-33.908877907255565,18.41644643730385,4b72f54ff964a5202d922de3,Atlantic Seaboard,91,No Rating Yet
173,Beluga,Sushi Restaurant,950,-33.91243967919306,18.418321047644554,4bdd96b339b4c9288c681193,Atlantic Seaboard,234,No Rating Yet
174,Sloppy Sam,Mediterranean Restaurant,870,-33.913184179999995,18.417037,4b6c4970f964a520f22d2ce3,Atlantic Seaboard,7,No Rating Yet
175,Glasshouse,Cosmetics Shop,982,-33.912564333647914,18.41862835433733,4be6ae2a8a8cb7138980c4a0,Atlantic Seaboard,6,No Rating Yet
176,Vista Marina,Mediterranean Restaurant,907,-33.908045,18.418070999999998,58b7fface9efba3ce673ff4b,Atlantic Seaboard,8,No Rating Yet
177,KFC,Fast Food Restaurant,955,-33.91399902364156,18.417570010826413,4bf6726babdaef3ba042a184,Atlantic Seaboard,13,No Rating Yet
178,VIVA CAFE,Tapas Restaurant,807,-33.913454732863215,18.416100680577685,50c1e502e4b0eb146376ddb4,Atlantic Seaboard,11,No Rating Yet
179,Commodore Hotel,Hotel,907,-33.90628686367284,18.41732509731191,4c33ec27213c2d7f8ecf375d,Atlantic Seaboard,60,No Rating Yet
180,Marios,Restaurant,285,-33.90818818771397,18.41082427787595,4cd59c3276ab721e8f346e6a,Atlantic Seaboard,2,No Rating Yet
181,Cafe Extrablatt,Café,299,-33.908380691796275,18.41119741939031,4e8c82ba93adecfdb96c7047,Atlantic Seaboard,41,No Rating Yet
182,Bo-kaap Kombuis,Restaurant,945,-33.91754754196031,18.41290115837862,4d14ed8a8312236a54774eba,Atlantic Seaboard,22,No Rating Yet
183,Craft Market & Wellness Centre,Arts & Crafts Store,983,-33.90689790483063,18.418520389459058,4cdc05d5c409b60cd211d81a,Atlantic Seaboard,21,No Rating Yet
184,Romney Park All Suite Hotel & Spa,Hotel,538,-33.909917948355385,18.402679378200286,4b4f857af964a520e60927e3,Atlantic Seaboard,8,No Rating Yet
185,Table Thirteen,Restaurant,896,-33.91254117456231,18.41765820350372,4b878014f964a52021c131e3,Atlantic Seaboard,10,No Rating Yet
186,Protea Hotel by Marriott Cape Town Victoria Junction,Hotel,870,-33.912731821146664,18.417278214965336,5b48591cc9a51700396a6f6a,Atlantic Seaboard,1,No Rating Yet
187,Bootlegger Coffee Company,Coffee Shop,451,-33.909503961773105,18.413368811299573,59ef4d0f92e7a94da77d450f,Atlantic Seaboard,13,No Rating Yet
188,Vida e Caffe Prestwich Street,Coffee Shop,963,-33.91287069130057,18.418289990305126,4fa8abffe4b08ab44fa539d8,Atlantic Seaboard,6,No Rating Yet
189,Protea Breakwater Lodge,Hotel,690,-33.9078499,18.415570300000002,4bcf6d830ffdce72d077b2c0,Atlantic Seaboard,39,No Rating Yet
190,Primi Oxford Hotel,Hotel,532,-33.910797678362385,18.41416199474988,4fff64fee4b0bc634560cc0a,Atlantic Seaboard,5,No Rating Yet
191,The Portswood Hotel,Hotel,966,-33.90600232934396,18.41786970331059,4b841e78f964a520fe2131e3,Atlantic Seaboard,13,No Rating Yet
192,"Limnos Bakery, Green Point",Bakery,951,-33.91392437913351,18.417568300868048,4bf4373d354e9c74d1b72602,Atlantic Seaboard,10,No Rating Yet
193,ZAR,Nightclub,363,-33.90873356475382,18.41219281698066,4d699c05de28224bb48545be,Atlantic Seaboard,2,No Rating Yet
