,Name,Distance,Categories,Latitude,Longitude,Id,Neighborhood,Likes
49,Nobu - The One&Only Cape Town,742,Japanese Restaurant,-33.90887790725557,18.416446437303854,4b72f54ff964a5202d922de3,Atlantic Seaboard,91
50,Beluga,950,Sushi Restaurant,-33.91243967919306,18.418321047644554,4bdd96b339b4c9288c681193,Atlantic Seaboard,234
51,Sloppy Sam,870,Mediterranean Restaurant,-33.913184179999995,18.417037,4b6c4970f964a520f22d2ce3,Atlantic Seaboard,7
52,Glasshouse,982,Cosmetics Shop,-33.912564333647914,18.418628354337326,4be6ae2a8a8cb7138980c4a0,Atlantic Seaboard,6
53,Vista Marina,907,Mediterranean Restaurant,-33.908045,18.418071,58b7fface9efba3ce673ff4b,Atlantic Seaboard,8
54,KFC,955,Fast Food Restaurant,-33.91399902364156,18.417570010826417,4bf6726babdaef3ba042a184,Atlantic Seaboard,13
55,VIVA CAFE,807,Tapas Restaurant,-33.91345473286322,18.416100680577685,50c1e502e4b0eb146376ddb4,Atlantic Seaboard,11
56,Commodore Hotel,907,Hotel,-33.90628686367284,18.41732509731191,4c33ec27213c2d7f8ecf375d,Atlantic Seaboard,60
57,Marios,285,Restaurant,-33.908188187713975,18.41082427787595,4cd59c3276ab721e8f346e6a,Atlantic Seaboard,2
58,Cafe Extrablatt,299,Café,-33.908380691796275,18.41119741939031,4e8c82ba93adecfdb96c7047,Atlantic Seaboard,41
59,Bo-kaap Kombuis,945,Restaurant,-33.91754754196031,18.41290115837862,4d14ed8a8312236a54774eba,Atlantic Seaboard,22
60,Craft Market & Wellness Centre,983,Arts & Crafts Store,-33.90689790483063,18.41852038945906,4cdc05d5c409b60cd211d81a,Atlantic Seaboard,21
61,Romney Park All Suite Hotel & Spa,538,Hotel,-33.90991794835539,18.402679378200283,4b4f857af964a520e60927e3,Atlantic Seaboard,8
62,Table Thirteen,896,Restaurant,-33.91254117456231,18.41765820350372,4b878014f964a52021c131e3,Atlantic Seaboard,10
63,Protea Hotel by Marriott Cape Town Victoria Junction,870,Hotel,-33.912731821146664,18.417278214965336,5b48591cc9a51700396a6f6a,Atlantic Seaboard,1
64,Bootlegger Coffee Company,451,Coffee Shop,-33.909503961773105,18.413368811299573,59ef4d0f92e7a94da77d450f,Atlantic Seaboard,13
65,Vida e Caffe Prestwich Street,963,Coffee Shop,-33.91287069130057,18.418289990305126,4fa8abffe4b08ab44fa539d8,Atlantic Seaboard,6
66,Protea Breakwater Lodge,690,Hotel,-33.9078499,18.4155703,4bcf6d830ffdce72d077b2c0,Atlantic Seaboard,39
67,Primi Oxford Hotel,532,Hotel,-33.910797678362385,18.414161994749882,4fff64fee4b0bc634560cc0a,Atlantic Seaboard,5
68,The Portswood Hotel,966,Hotel,-33.906002329343956,18.41786970331059,4b841e78f964a520fe2131e3,Atlantic Seaboard,13
69,"Limnos Bakery, Green Point",951,Bakery,-33.91392437913351,18.417568300868048,4bf4373d354e9c74d1b72602,Atlantic Seaboard,10
70,ZAR,363,Nightclub,-33.90873356475382,18.41219281698066,4d699c05de28224bb48545be,Atlantic Seaboard,2
71,Parkrun Greenpoint,376,Athletics & Sports,-33.90682623948012,18.406750277013906,52c7a17611d24f384e8bceda,Atlantic Seaboard,2
72,Cape Town Station,472,Train Station,-33.90991887680646,18.40338911809662,4f48de60e4b03377e79bb487,Atlantic Seaboard,1
73,Green Point Athletics Stadium,551,Athletics & Sports,-33.9049248813975,18.40872062697053,553ced52498e35c7182a0db2,Atlantic Seaboard,3
74,Protea Hotel Victoria Junction,873,Hotel,-33.9129568203657,18.41719374617024,4c55ca9d30f92d7fa38bbbbc,Atlantic Seaboard,47
75,Shoreline Cafe @ Two Oceans Aquarium,898,Café,-33.90812704951602,18.41800028199086,4bbdb1e7a8cf76b09607b2fd,Atlantic Seaboard,4
76,Kingslyn Boutique Guesthouse,593,Hotel,-33.9089241027832,18.40218162536621,4ed242b6b634dd2993b81466,Atlantic Seaboard,5
77,Kauai : Point Virgin Active,627,Juice Bar,-33.906501436941326,18.403065593323273,4d91ed829acaa143879ef2f0,Atlantic Seaboard,3
78,Protea Hotel Cape Castle,644,Hotel,-33.91148046886515,18.41520547676504,4e3a8d5c1495c19cfbc44cd7,Atlantic Seaboard,6
79,Antrim Villa,648,Hotel,-33.908784963679516,18.40160301790957,4d60af66b6b9a1cd50fe7e51,Atlantic Seaboard,2
80,Greenpoint Tennis Club,757,Tennis Court,-33.9065244270183,18.40137243867734,4f27a86ee4b052a5c81715d0,Atlantic Seaboard,1
81,Head South Lodge,788,Hotel,-33.908374928622116,18.400157020207818,4bce2588c564ef3b87c0edf0,Atlantic Seaboard,3
82,Green Point Adventure Play Park,824,Park,-33.9049,18.4019,55c5da2b498e17a6c59bd016,Atlantic Seaboard,4
